segment_id,primitive,start_frame,end_frame,start_time,end_time,duration_s,start_x,start_y,start_z,end_x,end_y,end_z,delta_x,delta_y,delta_z,displacement_mm,path_length_mm,straightness,dominant_axis,dominant_axis_role,dominant_axis_signed,direction_unit_x,direction_unit_y,direction_unit_z,min_x,max_x,min_y,max_y,min_z,max_z,x_positive_ratio,y_positive_ratio,z_positive_ratio,x_negative_ratio,y_negative_ratio,z_negative_ratio,mean_tip_speed_mm_s,max_tip_speed_mm_s,min_tip_speed_mm_s,std_tip_speed_mm_s,mean_angular_speed_deg_s,max_angular_speed_deg_s,min_angular_speed_deg_s,std_angular_speed_deg_s,mean_x_axis_change_deg,mean_y_axis_change_deg,mean_z_axis_change_deg,max_x_axis_change_deg,max_y_axis_change_deg,max_z_axis_change_deg,total_rotation_deg,R_start,R_end
0,scrape_or_scoop,840,1080,7.0,9.0,2.0,87.519081004856,222.085699360901,38.1880923424327,392.418514177131,247.076034793189,46.1094735142278,304.899433172275,24.990335432287992,7.921381171795105,306.0243936248575,454.0330043752524,0.6740135423545824,x,longitudinal,+x,0.9963239516979109,0.08166125300103559,0.02588480309679363,72.3338280943702,393.448386176082,209.465841639223,248.266256263696,27.5712882284558,46.1094735142278,0.5666666666666667,0.5083333333333333,0.5791666666666667,0.43333333333333335,0.49166666666666664,0.42083333333333334,226.44713514381684,671.8731718166449,4.579555275799577,207.43084412329551,21.573257872353864,56.42395033422913,1.0174902394716188,10.937682526917163,0.1338800271976293,0.13247773472304292,0.15648734139550566,0.461355926287035,0.4606542637167629,0.4476699227239966,13.533768693483072,"[[0.9769375150662472, 0.0159622685861267, -0.2129279165299143], [0.0224398597592844, -0.9993549145335954, 0.0280393917825269], [-0.2123429875229447, -0.0321708063177587, -0.9766654979422053]]","[[0.9998304033165336, -0.0092029231545046, 0.0159521412139607], [-0.0089848794883232, -0.9998659625946116, -0.0136868106340006], [0.016075961696837, 0.0135411613299217, -0.9997790757989282]]"
1,lift,1080,1308,9.0,10.9,1.9000000000000004,392.418514177131,247.076034793189,46.1094735142278,712.961181519695,565.875676664046,719.018327926853,320.54266734256396,318.79964187085693,672.9088544126251,810.6707960639657,1115.2077419245575,0.7269235727013152,z,height,+z,0.39540423671222474,0.3932541340069467,0.830064259968148,392.385665617981,712.961181519695,246.641576801192,565.875676664046,45.0870994443488,719.018327926853,0.8026315789473685,0.8377192982456141,0.8026315789473685,0.19736842105263158,0.16228070175438597,0.19736842105263158,584.4296971418578,1810.594317726745,5.699967773540088,338.9424776326619,28.586315887011168,103.00383723720216,3.081058654628211,16.809018227373365,0.18540726973754085,0.21571664387539527,0.1569523603544037,0.6958338307138212,0.8537234578862818,0.554989997300949,23.737187207955586,"[[0.9998304033165336, -0.0092029231545046, 0.0159521412139607], [-0.0089848794883232, -0.9998659625946116, -0.0136868106340006], [0.016075961696837, 0.0135411613299217, -0.9997790757989282]]","[[0.9276888388515162, 0.3486880082567048, 0.133454453534896], [0.3656256678553227, -0.9208178712469705, -0.1356920004920961], [0.0755730724244739, 0.1746743280799155, -0.9817217476628268]]"
2,dump_main,1308,1374,10.9,11.45,0.5499999999999989,712.961181519695,565.875676664046,719.018327926853,-279.284504864817,1399.24496276827,1459.4937853436,-992.2456863845119,833.369286104224,740.475457416747,1492.434176842341,2051.2192896294205,0.7275839225907283,x,longitudinal,-x,-0.6648505520584387,0.5583960077002847,0.4961528413825449,-279.284504864817,858.905479015002,565.875676664046,1534.91339772833,719.018327926853,1459.4937853436,0.25757575757575757,0.6363636363636364,1.0,0.7424242424242424,0.36363636363636365,0.0,3700.8493891530557,5513.93310793131,927.2005586111148,1426.4851338913422,332.6728070884944,800.9904444082734,73.89395156712025,203.49337182835498,1.9594965318007689,2.2997890273770265,2.410699099211305,3.4107993865431303,6.238026947376066,6.661125182087617,150.94639078866206,"[[0.9276888388515162, 0.3486880082567048, 0.133454453534896], [0.3656256678553227, -0.9208178712469705, -0.1356920004920961], [0.0755730724244739, 0.1746743280799155, -0.9817217476628268]]","[[-0.861382567382602, -0.3276617867477914, 0.3881466554211205], [0.5070522292278501, -0.6002342319084484, 0.6185603476463253], [0.0303003208633995, 0.7296277272352798, 0.6831729431154714]]"
3,retract,1374,1536,11.45,12.8,1.3500000000000014,-279.284504864817,1399.24496276827,1459.4937853436,522.278728374355,326.149794484272,495.397471112258,801.563233239172,-1073.095168283998,-964.0963142313419,1650.3086257393663,2482.393382192759,0.6648054404179922,y,width_or_depth,-y,0.48570504979337303,-0.6502390834945997,-0.5841915258725685,-298.235458555513,871.582598156193,326.149794484272,1537.26828512882,495.397471112258,1459.4937853436,0.6358024691358025,0.25308641975308643,0.0,0.36419753086419754,0.7469135802469136,1.0,1833.217217311291,2558.231795858746,93.2817049654504,590.4246617019563,140.6056269097614,236.7227151593392,44.65961279007253,54.571191669752615,0.9719522856451419,0.9020051901532596,0.9471510246041205,1.663628169311924,1.6352129363363748,1.9238797462916144,166.12787827591947,"[[-0.861382567382602, -0.3276617867477914, 0.3881466554211205], [0.5070522292278501, -0.6002342319084484, 0.6185603476463253], [0.0303003208633995, 0.7296277272352798, 0.6831729431154714]]","[[0.9945434585959486, 0.0815943940057286, -0.0650051061905649], [0.0686942811855108, -0.981160866900074, -0.1805670207881309], [-0.0785137229814934, 0.1751162703198456, -0.9814121902507896]]"
