frame,time,origin_x,origin_y,origin_z,x_axis_x,x_axis_y,x_axis_z,y_axis_x,y_axis_y,y_axis_z,z_axis_x,z_axis_y,z_axis_z,R00,R01,R02,R10,R11,R12,R20,R21,R22
13,0.108333333333333,79.0377554559714,216.420995963281,146.995042611889,0.9624577542922317,-0.04744360665376209,-0.2672530175516024,-0.05726717471256248,-0.9979352948984398,-0.029079509906545915,-0.26532158205316597,0.04329262504916003,-0.9631875241681435,0.9624577542922317,-0.05726717471256248,-0.26532158205316597,-0.04744360665376209,-0.9979352948984398,0.04329262504916003,-0.2672530175516024,-0.029079509906545915,-0.9631875241681435
14,0.116666666666667,78.1740987956589,216.070254726596,142.229018971723,0.9628238911566166,-0.047337337965927734,-0.2659498656745876,-0.057705321943122875,-0.9978428043984237,-0.03130229272321466,-0.26389439258436737,0.045485317901371336,-0.9634785080207752,0.9628238911566166,-0.057705321943122875,-0.26389439258436737,-0.047337337965927734,-0.9978428043984237,0.045485317901371336,-0.2659498656745876,-0.03130229272321466,-0.9634785080207752
15,0.125,77.0634006330835,215.848357274821,137.762427146567,0.963278195634037,-0.04465911131266448,-0.26476533306457795,-0.05463340117073547,-0.9980428433656269,-0.03042489577915431,-0.26288839702914113,0.04377266936591787,-0.9638327884669782,0.963278195634037,-0.05463340117073547,-0.26288839702914113,-0.04465911131266448,-0.9980428433656269,0.04377266936591787,-0.26476533306457795,-0.03042489577915431,-0.9638327884669782
16,0.133333333333333,76.1458490848208,215.383722867025,133.215332553194,0.9639826901390784,-0.04427134869860143,-0.2622544962372092,-0.053383997160437596,-0.9981891963364277,-0.027721420678077046,-0.26055234015337475,0.04072316296216896,-0.9646004883053693,0.9639826901390784,-0.053383997160437596,-0.26055234015337475,-0.04427134869860143,-0.9981891963364277,0.04072316296216896,-0.2622544962372092,-0.027721420678077046,-0.9646004883053693
17,0.141666666666667,75.4901729670321,214.825746194787,128.468798013602,0.9635341510553787,-0.04446018308878129,-0.26386593540982695,-0.05339794579371456,-0.9982137799482187,-0.026793822170432184,-0.2622033545456702,0.039906661614337875,-0.9641871494807407,0.9635341510553787,-0.05339794579371456,-0.2622033545456702,-0.04446018308878129,-0.9982137799482187,0.039906661614337875,-0.26386593540982695,-0.026793822170432184,-0.9641871494807407
18,0.15,74.7344596163354,214.50683929505,124.721684977782,0.9647684816693264,-0.042546300038726864,-0.2596374185869161,-0.05104581623181777,-0.9983557567679994,-0.026078872165469825,-0.2581009519988067,0.03841347785882004,-0.9653539782360145,0.9647684816693264,-0.05104581623181777,-0.2581009519988067,-0.042546300038726864,-0.9983557567679994,0.03841347785882004,-0.2596374185869161,-0.026078872165469825,-0.9653539782360145
19,0.158333333333333,74.1486310381863,213.938425557732,120.129530376551,0.9648136960286714,-0.04307614027899682,-0.2593819155110059,-0.05174532552216239,-0.9983037355427524,-0.02668469388978819,-0.25779246156957325,0.039167559791879275,-0.9654061057492074,0.9648136960286714,-0.05174532552216239,-0.25779246156957325,-0.04307614027899682,-0.9983037355427524,0.039167559791879275,-0.2593819155110059,-0.02668469388978819,-0.9654061057492074
20,0.166666666666667,73.5502334274767,213.567935380731,115.908691170956,0.9650348671888846,-0.0420600442138105,-0.2587250621614851,-0.051551063324460675,-0.9982194654884072,-0.030006442477506896,-0.2570023209619895,0.042294815294203515,-0.9654848293056602,0.9650348671888846,-0.051551063324460675,-0.2570023209619895,-0.0420600442138105,-0.9982194654884072,0.042294815294203515,-0.2587250621614851,-0.030006442477506896,-0.9654848293056602
21,0.175,73.1047657689579,212.956991706413,112.056324680267,0.965420579822257,-0.04304333533607287,-0.25711937954732916,-0.051760491320959556,-0.9982882638705236,-0.027228546721940222,-0.25550725154850296,0.03959562477752298,-0.9659959787207231,0.965420579822257,-0.051760491320959556,-0.25550725154850296,-0.04304333533607287,-0.9982882638705236,0.03959562477752298,-0.25711937954732916,-0.027228546721940222,-0.9659959787207231
22,0.183333333333333,72.8471563641888,212.486906640703,108.071552740453,0.9657149333614714,-0.04379883482014866,-0.25588342961404525,-0.0535690536576363,-0.9980723890739646,-0.03133468778229749,-0.254017763105012,0.04396780909467872,-0.9661996728371107,0.9657149333614714,-0.0535690536576363,-0.254017763105012,-0.04379883482014866,-0.9980723890739646,0.04396780909467872,-0.25588342961404525,-0.03133468778229749,-0.9661996728371107
