segment_id,primitive,start_frame,end_frame,start_time,end_time,duration,max_tip_speed_mm_s,mean_tip_speed_mm_s,max_angular_speed_deg_s,mean_angular_speed_deg_s,start_origin_x,start_origin_y,start_origin_z,end_origin_x,end_origin_y,end_origin_z
0,scrape_or_scoop,840,1080,7.0,9.0,2.0,671.8731718166449,226.44713514381684,56.42395033422913,21.573257872353864,87.519081004856,222.085699360901,38.1880923424327,392.418514177131,247.076034793189,46.1094735142278
1,lift,1080,1308,9.0,10.9,1.9000000000000004,1810.594317726745,584.4296971418578,103.00383723720216,28.586315887011168,392.418514177131,247.076034793189,46.1094735142278,712.961181519695,565.875676664046,719.018327926853
2,dump_main,1308,1374,10.9,11.45,0.5499999999999989,5513.93310793131,3700.8493891530557,800.9904444082734,332.6728070884944,712.961181519695,565.875676664046,719.018327926853,-279.284504864817,1399.24496276827,1459.4937853436
3,retract,1374,1536,11.45,12.8,1.3500000000000014,2558.231795858746,1833.217217311291,236.72271515933917,140.6056269097614,-279.284504864817,1399.24496276827,1459.4937853436,522.278728374355,326.149794484272,495.397471112258
