frame,time,origin_x,origin_y,origin_z,x_axis_x,x_axis_y,x_axis_z,y_axis_x,y_axis_y,y_axis_z,z_axis_x,z_axis_y,z_axis_z,R00,R01,R02,R10,R11,R12,R20,R21,R22,tip_speed_mm_s,tip_vx_mm_s,tip_vy_mm_s,tip_vz_mm_s,frame_rotation_deg,angular_speed_deg_s,x_axis_change_deg,y_axis_change_deg,z_axis_change_deg
17,0.141666666666667,75.4901729670321,214.825746194787,128.468798013602,0.9635341510553788,-0.0444601830887812,-0.2638659354098269,-0.0533979457937145,-0.9982137799482188,-0.0267938221704321,-0.2622033545456702,0.0399066616143378,-0.9641871494807408,0.9635341510553788,-0.0533979457937145,-0.2622033545456702,-0.0444601830887812,-0.9982137799482188,0.0399066616143378,-0.2638659354098269,-0.0267938221704321,-0.9641871494807408,578.8782994220846,-78.68113413463787,-66.95720066855449,-569.5841447509953,0.10914954277515929,13.09794513301807,0.09644741050587562,0.05317214950571064,0.10815666214731415
18,0.15,74.7344596163354,214.50683929505,124.721684977782,0.9647684816693264,-0.0425463000387268,-0.2596374185869161,-0.0510458162318177,-0.9983557567679994,-0.0260788721654698,-0.2581009519988067,0.03841347785882,-0.9653539782360144,0.9647684816693264,-0.0510458162318177,-0.2581009519988067,-0.0425463000387268,-0.9983557567679994,0.03841347785882,-0.2596374185869161,-0.0260788721654698,-0.9653539782360144,460.300672936305,-90.68560208360702,-38.26882796844001,-449.6535642984172,0.2851914198179642,34.22297037815708,0.27518035723197104,0.14108994050801393,0.25891625171903976
19,0.158333333333333,74.1486310381863,213.938425557732,120.129530376551,0.9648136960286714,-0.0430761402789968,-0.2593819155110059,-0.0517453255221623,-0.9983037355427524,-0.0266846938897881,-0.2577924615695732,0.0391675597918792,-0.9654061057492074,0.9648136960286714,-0.0517453255221623,-0.2577924615695732,-0.0430761402789968,-0.9983037355427524,0.0391675597918792,-0.2593819155110059,-0.0266846938897881,-0.9654061057492074,559.6964300507362,-70.29942937789541,-68.20964847816573,-551.0585521477424,0.05545597478341608,6.6547169740101975,0.03380241468356249,0.053104239503467716,0.04677677483309516
20,0.166666666666667,73.5502334274767,213.567935380731,115.908691170956,0.9650348671888846,-0.0420600442138105,-0.2587250621614851,-0.0515510633244606,-0.9982194654884072,-0.0300064424775068,-0.2570023209619895,0.0422948152942035,-0.9654848293056602,0.9650348671888846,-0.0515510633244606,-0.2570023209619895,-0.0420600442138105,-0.9982194654884072,0.0422948152942035,-0.2587250621614851,-0.0300064424775068,-0.9654848293056602,513.4938152557302,-71.80771328514591,-44.45882124011505,-506.5007046713595,0.19430766009582678,23.316919211497357,0.0704720481981916,0.19070857952932221,0.18486441827097094
21,0.175,73.1047657689579,212.956991706413,112.056324680267,0.965420579822257,-0.0430433353360728,-0.2571193795473291,-0.0517604913209595,-0.9982882638705236,-0.0272285467219402,-0.2555072515485029,0.0395956247775229,-0.9659959787207232,0.965420579822257,-0.0517604913209595,-0.2555072515485029,-0.0430433353360728,-0.9982882638705236,0.0395956247775229,-0.2571193795473291,-0.0272285467219402,-0.9659959787207232,471.1038792946484,-53.456119022257425,-73.31324091816394,-462.2839788826995,0.186723178605962,22.406781432716336,0.11011905192680381,0.1596621010518996,0.17920067923584151
22,0.183333333333333,72.8471563641888,212.486906640703,108.071552740453,0.9657149333614714,-0.0437988348201486,-0.2558834296140452,-0.0535690536576363,-0.9980723890739646,-0.0313346877822974,-0.254017763105012,0.0439678090946787,-0.9661996728371108,0.9657149333614714,-0.0535690536576363,-0.254017763105012,-0.0437988348201486,-0.9980723890739646,0.0439678090946787,-0.2558834296140452,-0.0313346877822974,-0.9661996728371108,482.47984394100285,-30.913128572293083,-56.410207885199945,-478.1726327776987,0.2679428791733622,32.153145500804754,0.08469308773719247,0.25737177416120255,0.2649030006701493
23,0.191666666666667,72.5165911544333,211.962134319501,104.131909733014,0.9660619033872072,-0.0444290067339509,-0.2544611211649457,-0.0537111376227264,-0.9981164325736156,-0.0296428865293475,-0.2526648224806119,0.0423042596809561,-0.9666285931492442,0.9660619033872072,-0.0537111376227264,-0.2526648224806119,-0.0444290067339509,-0.9981164325736156,0.0423042596809561,-0.2544611211649457,-0.0296428865293475,-0.9666285931492442,478.5795939779257,-39.66782517065735,-62.9726785442374,-472.757160892641,0.12943398937186337,15.532078724622314,0.09132283515693508,0.09730705800169051,0.12529081171519152
24,0.2,72.2570743772756,211.662142575858,100.073346946488,0.9661875392969228,-0.0443123179229995,-0.2540040499433981,-0.0529427232186641,-0.998225970665894,-0.027239301502157,-0.2523464027196528,0.0397659398031091,-0.9668195090429372,0.9661875392969228,-0.0529427232186641,-0.2523464027196528,-0.0443123179229995,-0.998225970665894,0.0397659398031091,-0.2540040499433981,-0.027239301502157,-0.9668195090429372,489.3481101457284,-31.142013258925203,-35.999009237158674,-487.02753438313914,0.14718944586785943,17.662733504143844,0.02797036339691108,0.1447178843339532,0.14698250863348503
25,0.208333333333333,72.1566160364143,211.203972595144,96.2815351281754,0.9663229104555948,-0.045231178686104,-0.2533262189416926,-0.054683126072378,-0.9980411356333504,-0.0303915663736661,-0.2514553408690718,0.0432207364393329,-0.9669033971861204,0.9663229104555948,-0.054683126072378,-0.2514553408690718,-0.045231178686104,-0.9980411356333504,0.0432207364393329,-0.2533262189416926,-0.0303915663736661,-0.9669033971861204,458.48557015417794,-12.05500090335582,-54.9803976856844,-455.01741819752976,0.21074686855654973,25.289624226786984,0.0658798190599363,0.20658250529606306,0.20447981342707144
26,0.216666666666667,72.2101542862738,210.928580256782,92.432625958767,0.9665392125034143,-0.0456055302236133,-0.2524323400563062,-0.0555036783677594,-0.9979382761088904,-0.0322263675344366,-0.2504421936913343,0.045158971310686,-0.9670777501986244,0.9665392125034143,-0.0555036783677594,-0.2504421936913343,-0.0456055302236133,-0.9979382761088904,0.045158971310686,-0.2524323400563062,-0.0322263675344366,-0.9670777501986244,463.0944296054044,6.424589983139469,-33.04708060343692,-461.8691003289713,0.12715243280808222,15.258291936968648,0.05689171414339016,0.11531098140612873,0.12570676429228475
27,0.225,72.2946969178355,210.751174196961,88.7116315358035,0.9663587896313888,-0.0450333318516304,-0.253224581596057,-0.0542682895142747,-0.9980875697615078,-0.0295999297425223,-0.2514073237902032,0.0423462171853439,-0.9669545777515816,0.9663587896313888,-0.0542682895142747,-0.2514073237902032,-0.0450333318516304,-0.9980875697615078,0.0423462171853439,-0.253224581596057,-0.0295999297425223,-0.9669545777515816,447.1416397716546,10.145115787403096,-21.28872717852204,-446.51933075563795,0.17327832836486426,20.793399403784548,0.05693972955183866,0.16651947258855462,0.17052825598405366
28,0.233333333333333,72.4413332565772,210.716681901339,85.5695368104703,0.9671565472272488,-0.0454563755684907,-0.2500838480902812,-0.0561791729185231,-0.9977749533154108,-0.0359032459064743,-0.247895368423166,0.0487735630911501,-0.9675582803416736,0.9671565472272488,-0.0561791729185231,-0.247895368423166,-0.0454563755684907,-0.9977749533154108,0.0487735630911501,-0.2500838480902812,-0.0359032459064743,-0.9675582803416736,377.484433110304,17.59636064900476,-4.139075474638669,-377.05136704000023,0.42136778512325446,50.56413421479257,0.18724064054293588,0.37780976314031056,0.4210725495903175
29,0.241666666666667,72.7136533438118,210.718498100862,82.2332861767156,0.967247214386464,-0.0459808283733229,-0.2496369157070499,-0.0560957462269175,-0.997861459787506,-0.0335525606473301,-0.2475602825916771,0.046457189894036,-0.9677580462028093,0.967247214386464,-0.0560957462269175,-0.2475602825916771,-0.0459808283733229,-0.997861459787506,0.046457189894036,-0.2496369157070499,-0.0335525606473301,-0.9677580462028093,401.6816020232369,32.678410468149885,0.2179439427606948,-400.3500760505323,0.13763493156372233,16.516191787645365,0.039820354597893105,0.13486028261578406,0.13458748409196433
30,0.25,73.0677405592696,210.760828123809,79.063655614889,0.9671915171444698,-0.0458799321413345,-0.2498711687860071,-0.0561957895896005,-0.997830263279492,-0.0343045028528481,-0.2477551258726649,0.0472207317847389,-0.9676712252069573,0.9671915171444698,-0.0561957895896005,-0.2477551258726649,-0.0458799321413345,-0.997830263279492,0.0472207317847389,-0.2498711687860071,-0.0343045028528481,-0.9676712252069573,382.7553733007734,42.490465854937156,5.079602753640051,-380.35566741920655,0.04571208301460354,5.485449961752645,0.014958120586787008,0.04349949785260612,0.04542287265202598
31,0.258333333333333,73.5320328781065,211.178466385436,76.4121796737915,0.9684410249352344,-0.0447609227165106,-0.245190621802628,-0.055248019888939,-0.9978213710950856,-0.0360578380421637,-0.243042460324825,0.0484661859804347,-0.9688041036740944,0.9684410249352344,-0.055248019888939,-0.243042460324825,-0.0447609227165106,-0.9978213710950856,0.0484661859804347,-0.245190621802628,-0.0360578380421637,-0.9688041036740944,326.8830339314093,55.715078260431376,50.116591395240704,-318.1771129317119,0.2969928521718279,35.639142260620666,0.2848759916822989,0.11419743223964234,0.28672996426584485
32,0.266666666666667,73.9716863734713,211.669993568051,73.7077593913661,0.9685748334174396,-0.0429143961250733,-0.2449921359464418,-0.0522014354121004,-0.998138459285382,-0.0315376954820795,-0.2431826519538263,0.0433355593090057,-0.9690119850074508,0.9685748334174396,-0.0522014354121004,-0.2431826519538263,-0.0429143961250733,-0.998138459285382,0.0433355593090057,-0.2449921359464418,-0.0315376954820795,-0.9690119850074508,334.03963616566904,52.758419443771295,58.98326191379742,-324.53043389102356,0.3129504162080799,37.55404994496672,0.10668349212882713,0.31284746825463033,0.2943144068378338
33,0.275,74.4798817182583,212.478308227688,71.3796304856587,0.9691736095937932,-0.0397390580211724,-0.2431528772902508,-0.0492410871467298,-0.9982375119012008,-0.0331237855612618,-0.2414080152015381,0.0440758108364462,-0.9694222470603632,0.9691736095937932,-0.0492410871467298,-0.2414080152015381,-0.0397390580211724,-0.9982375119012008,0.0440758108364462,-0.2431528772902508,-0.0331237855612618,-0.9694222470603632,301.95727827980505,60.98344137444198,96.99775915644085,-279.3754686848985,0.21809678272391037,26.17161392687021,0.2130308653494904,0.192510115637495,0.11265032365407211
34,0.283333333333333,75.0653772905473,213.183341622248,68.894168606229,0.9699510184434116,-0.0386082765459179,-0.2402174489972422,-0.0469375903609455,-0.9984753864176416,-0.0290476389617072,-0.2387297309337418,0.0394500152128683,-0.9702843974155244,0.9699510184434116,-0.0469375903609455,-0.2387297309337418,-0.0386082765459179,-0.9984753864176416,0.0394500152128683,-0.2402174489972422,-0.0290476389617072,-0.9702843974155244,317.88445991692714,70.2594686746837,84.60400734720592,-298.25542553157607,0.3184740368138412,38.2168844176626,0.18565759753039876,0.268604747538861,0.3102161269812629
35,0.291666666666667,75.7690827624585,214.113209049288,66.7255416088208,0.9705699213792024,-0.0341398056881488,-0.2383872928273318,-0.0423452632418029,-0.9986708663714572,-0.0293833174074218,-0.2370673035130551,0.0386131367342557,-0.970725563316734,0.9705699213792024,-0.0423452632418029,-0.2370673035130551,-0.0341398056881488,-0.9986708663714572,0.0386131367342557,-0.2383872928273318,-0.0293833174074218,-0.970725563316734,295.47299272208215,84.44465662933605,111.58409124479005,-260.235239688962,0.2824364093064665,33.89236911677317,0.27892978435074334,0.2640608163532785,0.10959319755378018
36,0.3,76.2847475182774,215.001961827459,64.806214697149,0.9709748017045592,-0.0311779150897003,-0.2371410383410074,-0.0392020740238678,-0.9988046800107632,-0.0291960370739609,-0.2359473073527624,0.0376450368475892,-0.9710364150502928,0.9709748017045592,-0.0392020740238678,-0.2359473073527624,-0.0311779150897003,-0.9988046800107632,0.0376450368475892,-0.2371410383410074,-0.0291960370739609,-0.9710364150502928,261.24767379547376,61.87977069827112,106.65033338052591,-230.31922940062637,0.19307382034666787,23.168858441601152,0.18557008344483997,0.1805737798971106,0.08667088509668541
37,0.308333333333333,77.065114439454,216.171832362421,63.0370657423998,0.9724637747968654,-0.0286907815241015,-0.2312813130440236,-0.0360100490839468,-0.9989733539884328,-0.0274866219472915,-0.2302552563413116,0.0350581955701925,-0.9724985551920162,0.9724637747968654,-0.0360100490839468,-0.2302552563413116,-0.0286907815241015,-0.9989733539884328,0.0350581955701925,-0.2312813130440236,-0.0274866219472915,-0.9724985551920162,271.19622008859955,93.64403054119639,140.38446419544192,-212.29787456991247,0.3992415556819937,47.90898668184101,0.37457335297871885,0.2076890099645021,0.367895963607361
