time,scop - 1_x,scop - 1_y,scop - 1_z,scop - 2_x,scop - 2_y,scop - 2_z,scop - 3_x,scop - 3_y,scop - 3_z,scop - 4_x,scop - 4_y,scop - 4_z
0,103.78845779484,218.998979715113,221.681493604565,-78.802059764712,306.172636627932,275.65264403081,-135.16621169534,230.434529368353,351.550306149468,-91.6344072021747,162.888546584328,272.194426962635
0.00833333333333333,101.101984802,218.739426402406,215.467151055847,-81.8053522509336,305.587965970199,269.307085756286,-137.692706752946,229.455996152342,345.1589028706,-93.8362419293561,161.855427067538,265.849094422646
0.0166666666666667,98.7824292388978,218.775630250126,208.683741265352,-84.6859907570466,304.613692708407,262.953959214213,-140.175759755081,228.791972155816,339.074342217868,-96.2437938269082,161.305804005184,259.684764189208
0.025,96.187644560574,218.745190907568,202.24594946118,-87.3467588741482,304.074653028006,256.599954142133,-142.588959489378,227.848875081589,332.940705739218,-98.1841857204334,160.414900048141,253.41405300077
0.0333333333333333,93.9459404194214,218.443296827021,195.886648580862,-89.7019277690352,303.327236070186,250.480892960264,-144.76771454805,227.157304425545,326.826429840535,-100.308148520084,159.849970505021,247.215219367564
0.0416666666666667,91.764438623202,218.40131526246,189.662942814209,-92.1088335428393,302.707731716225,244.311627045093,-146.682293016833,226.268836352451,320.886290569107,-102.319735713171,158.892937878302,241.191089057472
0.05,89.5981218738892,218.110139277214,183.66382163304,-94.4337800895154,301.773633349623,238.596339873402,-148.758172092648,225.347584439329,314.724177911198,-104.193235325581,158.420064305892,234.997311315724
0.0583333333333333,87.7120878726806,218.135501709601,177.994992351765,-96.3716565265578,301.045322113626,232.939041435219,-150.685607144977,224.489285624488,309.383872979008,-105.968661407125,157.524814279679,229.184516385083
0.0666666666666667,86.0810882920679,217.623715554732,172.320182454593,-98.3515243076946,300.584016424627,227.807932259633,-152.825534516055,223.731621948379,303.554268048156,-107.957809531737,157.162337163332,223.3173752289
0.075,84.3304681542571,217.299472629086,166.974942475182,-100.28817306763,299.794314071688,222.47731165632,-154.205681044539,222.838074137294,298.200807393705,-109.454060779504,156.519422015379,217.698400516318
0.0833333333333333,82.8806488249316,217.164134581696,161.66351390118,-101.779059315635,299.302797610511,217.035717116042,-156.046047897013,222.021796349072,292.734231456227,-110.883344970308,155.536390052242,212.598751393779
0.0916666666666667,81.4346526583181,216.865721866478,156.992237220364,-103.381196575594,298.673350793976,211.960590828355,-157.251748376855,221.246006139151,287.694432714465,-112.251495329569,155.296358131263,207.250806444767
0.1,80.1429045641594,216.60296663163,151.596167540745,-104.814681200473,297.961670663716,206.849987535252,-158.60013597441,220.718126110215,282.096729291068,-113.487274861448,154.434722127109,202.277859720494
0.108333333333333,79.0377554559714,216.420995963281,146.995042611889,-106.149543751288,297.630211554126,201.657240783948,-160.044381541409,220.041350025817,276.971856801201,-114.453287892441,153.878434833256,197.483360686504
0.116666666666667,78.1740987956589,216.070254726596,142.229018971723,-107.320579326025,297.152471817153,196.863404059565,-160.912451036945,219.359033843667,272.169398310994,-115.349079955112,153.622490468675,192.286415059368
0.125,77.0634006330835,215.848357274821,137.762427146567,-108.674773735597,296.389491569799,192.080885695817,-162.183453759205,218.676131185523,267.19495027246,-116.347392065605,152.885172943922,187.656337362301
0.133333333333333,76.1458490848208,215.383722867025,133.215332553194,-109.451499152068,295.968601987984,186.749925579197,-163.44171680661,218.010497574398,262.593754941899,-117.086612223634,152.196777098362,182.742570282283
0.141666666666667,75.4901729670321,214.825746194787,128.468798013602,-110.466059095773,295.361625160254,182.371472347333,-163.955071884176,217.602994932053,257.855950142602,-117.828040177028,151.790659760984,178.431260324935
0.15,74.7344596163354,214.50683929505,124.721684977782,-111.31528759006,294.73809527283,177.657270887495,-164.934086105154,216.803817169361,252.970774317609,-118.641322238321,151.00825308054,173.896674592811
0.158333333333333,74.1486310381863,213.938425557732,120.129530376551,-111.746582011321,294.272868920852,173.028396849094,-165.848341206985,216.573808165387,248.680597289656,-119.206952419438,150.536433069332,169.188998929728
0.166666666666667,73.5502334274767,213.567935380731,115.908691170956,-112.467767556169,293.653633019666,168.933105671254,-166.349378129363,216.147611074772,244.088714528563,-119.893916898709,150.020702209977,164.617770478557
0.175,73.1047657689579,212.956991706413,112.056324680267,-112.787276917243,293.281856612957,164.517493503915,-167.039686196456,215.204425492301,239.97100492801,-120.362625776451,149.545890274375,160.62952822624
0.183333333333333,72.8471563641888,212.486906640703,108.071552740453,-113.335640024212,292.729013479666,160.671246707267,-167.564569281071,215.153082030253,235.696042615745,-120.685637438253,149.466341934794,156.084290185203
0.191666666666667,72.5165911544333,211.962134319501,104.131909733014,-113.687459291707,292.505815675018,156.32833193742,-168.024615053846,214.511693555038,230.952823901729,-121.036376749303,148.883407400521,151.963649617135
0.2,72.2570743772756,211.662142575858,100.073346946488,-113.782671630547,292.223644980476,151.944522542299,-168.293126438083,214.556864646667,227.2402897756,-121.406040606896,148.51497559601,148.023438490226
0.208333333333333,72.1566160364143,211.203972595144,96.2815351281754,-113.966188853506,291.790510934915,148.287333254009,-168.60519494911,214.146446651651,222.854906929804,-121.632562135588,148.400171894041,143.871498583056
0.216666666666667,72.2101542862738,210.928580256782,92.432625958767,-114.025364711425,291.660046237406,144.431528701373,-168.59208223859,213.789629977542,219.470432102852,-121.893979476939,148.143195826538,139.767539496585
0.225,72.2946969178355,210.751174196961,88.7116315358035,-114.01494213719,291.325567055064,140.68059641473,-168.747179303425,213.598428696027,215.341076776326,-122.000202115425,147.913351494653,136.476250026807
0.233333333333333,72.4413332565772,210.716681901339,85.5695368104703,-113.802513563159,291.343198229912,137.350840865049,-168.626413976125,213.80830462308,211.090525818001,-122.002503123836,147.982493708739,132.225079415523
0.241666666666667,72.7136533438118,210.718498100862,82.2332861767156,-113.579714838252,291.49103731775,133.766109138415,-168.479943340983,213.681621737689,207.14474124879,-121.76566948103,148.047064262233,128.974119375124
0.25,73.0677405592696,210.760828123809,79.063655614889,-113.414013801648,291.492446408872,130.748582597744,-168.428837877292,213.410212914054,204.135729544104,-121.35434714373,148.097857171243,125.784149403911
0.258333333333333,73.5320328781065,211.178466385436,76.4121796737915,-113.236259639321,291.675039817847,127.293453850813,-168.358386550419,213.854478217403,201.238694961797,-121.040704031752,148.307309377294,122.07911206452
0.266666666666667,73.9716863734713,211.669993568051,73.7077593913661,-112.946988778928,291.979011360031,124.208285787283,-168.073186685712,213.768470059733,198.030153946625,-120.529340664837,148.260440458595,119.683854427016
0.275,74.4798817182583,212.478308227688,71.3796304856587,-112.539386841145,292.220162147859,121.577196555619,-167.830455466169,213.856256870381,195.073940575805,-119.652785728123,148.364839923758,116.808058569006
0.283333333333333,75.0653772905473,213.183341622248,68.894168606229,-112.396363539923,292.605640620473,118.246607932369,-167.543590666203,213.971173873152,192.526717744951,-119.122537315584,148.952361732484,114.060838901505
0.291666666666667,75.7690827624585,214.113209049288,66.7255416088208,-112.430975911759,292.762432195572,115.815599024706,-167.213149603368,214.459624083104,189.945988398572,-118.370328880261,148.912780200051,111.544093209349
0.3,76.2847475182774,215.001961827459,64.806214697149,-112.231045490643,292.916028025648,113.633293591452,-166.90273272983,214.73276715891,187.198266406204,-117.543341284654,149.364923891249,109.358927922088
0.308333333333333,77.065114439454,216.171832362421,63.0370657423998,-111.720698435468,293.683845203807,110.529534287231,-166.462404605281,214.99241400905,184.679377645115,-116.7250291329,149.94702986992,106.532736642333
0.316666666666667,77.7919829804065,217.292644096883,61.4954059222841,-111.309144688664,294.238616133318,108.746411347038,-165.961169802013,215.333892446371,182.395196234499,-116.073975485461,150.232482424131,104.816001221292
0.325,78.4551155578877,218.339198445972,60.1280664686571,-111.078971016258,294.654212741673,106.954527670918,-165.576017111483,215.618931967368,179.525395182406,-115.195659265377,150.65696536253,103.196829294722
0.333333333333333,79.2393615496353,219.49447568188,58.8393413115108,-110.787467727544,294.866960644537,104.641277034589,-165.212791142369,216.187418582385,177.927683056412,-114.067229289292,151.116687799025,101.114997541187
0.341666666666667,80.1387792661281,220.649955304111,57.741926830945,-110.507410001425,295.515036438184,102.933579506428,-164.792381961268,216.752368285291,176.257610984614,-113.145589833529,151.863731477733,99.5261408518273
0.35,80.9243935994842,222.006926626579,56.7649921565607,-110.057645082689,296.263679291973,100.725468836518,-164.475424099582,217.06755313514,174.615323522919,-112.25484152581,152.331364915464,98.4733802964777
0.358333333333333,81.6970991420794,223.183475596937,56.3399180098035,-109.653088157891,296.724381006325,99.8440745403172,-164.045649706138,217.570775618911,172.937635772373,-111.302609960191,152.848026970586,97.2136945065282
0.366666666666667,82.4031295962664,224.222341739598,55.9286157200766,-108.951854053153,297.559876078522,97.7753513290817,-163.752096932099,217.921138997688,171.563426568482,-110.498979667515,153.239215698091,95.795518656614
